State,Delta,Theta,Alpha,Beta,Gamma
Baseline,16401.64,10507.86,6087.01,19497.90,142151.77
Baseline,3645.36,7592.92,9679.71,21526.07,99581.55
Baseline,5499.88,10246.59,8925.42,25684.73,102691.36
Baseline,26980.45,12981.24,4592.21,22483.63,161205.50
Baseline,10943.43,12968.21,9057.02,24269.43,140788.78
Baseline,11224.44,9345.68,7495.26,18679.73,95076.39
Baseline,6168.31,4972.82,8336.65,17359.16,86990.07
Baseline,7105.57,7978.79,7282.32,22839.98,89556.56
Baseline,21337.46,31478.78,15893.55,47585.82,152508.52
Baseline,10056.33,10014.87,10261.07,35601.58,146463.12
Baseline,11147.79,16769.17,6306.55,35672.53,130510.65
Baseline,2721.87,3621.18,8281.46,23983.69,137432.00
Baseline,9225.10,15604.13,8301.56,43146.28,168990.38
Baseline,7234.99,20756.63,7356.86,16360.52,117351.31
Baseline,40174.00,37443.67,20948.05,24388.78,119886.00
Baseline,8873.03,34518.05,23759.29,26573.08,144599.24
Baseline,25030.65,30455.74,27548.81,40113.22,153578.87
Baseline,49830.53,66004.04,22016.08,49831.94,201224.57
Baseline,8204.00,7384.68,7888.73,24822.72,121611.18
Baseline,18532.67,22669.89,24483.13,70640.75,277845.93
Baseline,36838.55,20233.83,20237.30,92800.24,246961.99
Baseline,33317.22,24069.24,9710.28,25382.11,107033.55
Baseline,45001.63,19751.22,10998.22,22572.44,148461.63
Baseline,30101.51,9817.67,7793.09,30095.03,144853.14
Baseline,14180.69,15840.16,9003.20,29144.71,153103.80
Baseline,12744.88,6868.36,5137.35,31502.36,141603.52
Baseline,9471.15,11089.70,7340.28,21399.31,126095.00
Baseline,5658.28,9629.47,7208.61,18611.99,120026.37
Baseline,7225.23,7458.84,3997.02,18041.72,125612.79
Baseline,4577.99,10689.41,16966.43,30142.36,168208.40
Baseline,3208.89,6338.40,10227.86,34658.03,158671.81
Baseline,2245.75,10473.34,5515.15,45071.65,171649.98
Baseline,3807.77,6200.62,6487.02,37074.84,126778.63
Baseline,4549.55,5705.46,5375.01,19707.95,115730.37
Baseline,5147.57,6544.77,7500.16,24108.20,109713.60
Baseline,4656.18,7209.36,10278.35,15910.38,121176.40
Baseline,1625.22,6228.19,9977.74,20932.92,132052.94
Baseline,5578.31,9144.66,7992.96,25279.50,118994.32
Baseline,3553.97,5052.66,9274.28,31869.59,146364.48
Baseline,20591.12,21748.30,9567.88,16895.90,139793.96
Baseline,11226.54,9306.77,7146.02,18871.11,142525.79
Baseline,6471.55,6225.44,7679.03,27311.65,118722.51
Baseline,7273.52,10865.76,9306.36,29125.15,122435.92
Baseline,6058.43,16058.62,2887.06,20599.65,122813.89
Baseline,6565.19,5070.53,5851.85,20828.30,107843.19
Baseline,2075.47,4340.71,6874.63,19702.87,106484.98
Baseline,1692.89,5950.85,5303.73,22381.27,105333.72
Baseline,5365.45,3551.08,5102.46,19207.64,101074.28
Baseline,3374.52,3847.57,6699.79,13640.82,112623.81
Baseline,2827.51,6407.19,7857.25,27486.10,110847.65
Baseline,8416.88,9855.08,10203.31,24215.42,112794.21
Baseline,9748.77,7579.11,6783.43,24722.23,136513.34
Baseline,9216.60,9332.57,6520.30,28579.91,107271.64
Baseline,8525.11,9794.65,6604.43,20732.00,110362.76
Baseline,4083.14,4968.09,2684.03,17930.70,107687.68
Baseline,9955.61,17284.01,8983.21,24241.49,132884.23
Baseline,13082.09,17382.01,12434.94,65614.61,163148.34
Baseline,5775.51,8610.38,10391.61,24048.68,122856.10
Baseline,9674.41,10544.31,6920.10,18209.98,108771.05
Baseline,3021.12,5085.48,5159.35,11926.30,99486.84
Baseline,6355.86,2443.70,5356.66,26052.02,118861.79
Baseline,16069.68,11550.57,5023.67,22859.14,140271.21
Baseline,4665.89,3242.68,7216.92,26591.46,107891.66
Baseline,5710.67,6848.31,9459.32,24342.77,107977.94
Baseline,10841.41,13227.33,9146.46,22988.13,93771.86
Baseline,2686.05,4355.35,5488.71,18105.89,96096.62
Baseline,160048.71,63461.53,38702.05,100559.79,406102.12
Baseline,115086.92,28484.12,13961.02,88338.32,517434.40
Baseline,5485.36,15184.12,14186.20,75423.44,486120.77
Baseline,61672.98,25637.11,13714.59,110125.19,360551.48
Baseline,10046.75,19285.18,14527.13,49169.22,204649.80
Baseline,10662.08,7467.15,7170.00,36322.96,277140.02
Baseline,15266.57,5961.89,5465.38,86089.86,371840.76
Baseline,6099.89,14935.66,12218.15,53382.72,266770.17
Baseline,12752.38,10096.78,4538.50,53267.77,254651.26
Baseline,5706.83,5770.56,6396.86,43346.56,200996.64
Baseline,38130.60,34251.02,12919.47,54796.04,304323.02
Baseline,22381.43,37289.75,16029.23,50384.56,259282.81
Baseline,7498.19,6796.23,9036.90,22338.63,183502.30
Baseline,2179.70,14540.57,13212.44,29912.18,244627.83
Baseline,2939.44,6745.50,12721.75,30650.56,188485.66
Baseline,9960.88,19146.49,9960.07,86437.01,328695.43
Baseline,10169.91,12823.23,13575.26,72875.87,362453.63
Baseline,36270.41,27473.25,14995.76,48062.91,155616.71
Baseline,10370.81,9958.00,12609.43,52701.41,172568.85
Baseline,3605.76,5464.80,10566.43,30967.80,150693.43
Baseline,33438.14,23466.66,5425.47,23973.14,117605.31
Baseline,14753.25,13809.97,10788.50,55241.09,223619.30
Baseline,10775.39,11846.66,13609.09,32634.79,180370.57
Baseline,17605.07,7970.61,22497.29,41700.34,222300.94
Baseline,12404.40,8017.63,6875.16,26990.10,135008.87
Baseline,5711.13,5240.33,11735.00,38948.75,164804.19
Baseline,6879.48,8290.87,19709.63,42478.29,176069.70
Baseline,6574.02,5357.34,8905.74,37825.03,158830.64
Baseline,12934.60,35535.65,43188.84,49746.72,165255.02
Baseline,7812.44,8464.45,8050.34,46556.78,136722.26
Baseline,8755.07,10935.81,6961.37,25550.74,111229.58
Baseline,5858.37,6880.11,9463.96,39906.55,150413.54
Baseline,26110.58,19850.96,4906.63,20282.57,111007.45
Baseline,5072.21,6467.53,7891.47,35107.04,145348.38
Baseline,4615.10,9055.70,6024.39,29962.02,128297.93
Baseline,3145.88,7750.41,8501.22,26194.64,125215.44
Baseline,8301.96,8919.80,7724.90,17725.42,121680.35
Baseline,66123.62,26134.84,10974.02,63408.38,231166.20
Baseline,6409.12,7167.00,7083.10,58213.48,171653.97
Baseline,17864.90,9775.94,7972.97,22811.13,137815.49
Baseline,40052.92,23523.33,11567.95,24254.69,175334.10
Baseline,25779.80,22496.41,12375.73,42131.38,170269.76
Baseline,16009.54,15257.44,13161.47,30696.05,148983.17
Baseline,11851.38,12206.99,8242.40,24867.27,144161.84
Baseline,41606.51,29507.62,18067.57,36588.69,205346.73
Baseline,4356.07,4091.72,6269.35,45511.48,227462.65
Baseline,157748.26,59022.55,32262.67,76633.35,515120.67
Baseline,48481.83,23932.06,20952.20,51088.15,254141.20
Baseline,16017.61,10309.58,16064.01,42330.95,184465.59
Baseline,6546.82,11764.79,5692.46,34435.33,151840.96
Baseline,22010.79,22698.81,6253.39,25183.17,154189.19
Baseline,16273.86,8304.57,4160.88,21816.01,117730.55
Baseline,5320.57,4989.62,7404.32,49405.07,162001.58
Baseline,10445.40,9446.60,5846.10,42675.68,168369.80
Baseline,6384.83,7049.17,11261.53,36954.52,155103.22
Baseline,5964.27,9381.28,8861.07,28815.31,124402.78
Baseline,4890.23,7589.60,8317.23,24019.90,114382.57
Baseline,12388.71,15285.39,15406.96,30845.85,183721.18
Baseline,34145.91,13605.21,13156.65,55655.43,227285.52
Baseline,12024.96,13040.81,8440.98,41545.19,237211.28
Baseline,3001.79,6629.60,9651.04,37002.34,232778.39
Baseline,7288.69,6336.12,8815.22,36982.63,207620.38
Baseline,4473.01,5671.01,4175.03,34158.14,181797.64
Baseline,2712.88,6597.26,10368.29,39347.51,167835.05
Baseline,6050.85,8899.67,11347.53,38593.71,162522.16
Baseline,8083.37,12500.72,13314.60,63438.12,192346.78
Baseline,15903.52,21369.83,12990.24,60643.37,208824.73
Baseline,6208.22,13527.05,6070.44,34460.17,177578.35
Baseline,3735.53,8360.06,8151.18,46118.26,221110.04
Baseline,7152.71,16948.58,10253.77,47609.85,178498.16
Baseline,4937.36,9626.44,15775.62,60813.84,271800.99
Baseline,4631.83,4388.34,9880.33,48304.44,186511.49
Baseline,2185.89,7577.32,5782.30,43220.03,181470.62
Baseline,16549.44,8854.30,12770.35,42998.09,180842.04
Baseline,3977.62,5193.82,5680.81,39686.36,142442.73
Baseline,4360.81,10384.90,8081.79,36459.07,151661.34
Baseline,17787.25,26417.26,16227.48,50803.63,195159.57
Baseline,5331.70,7505.86,6368.18,37596.45,164381.75
Baseline,1300.40,6978.53,6253.69,45423.13,165607.71
Baseline,5804.44,8413.97,6314.05,38504.26,197073.40
Baseline,20753.37,23914.01,13382.53,40134.02,160323.22
Baseline,8268.39,7644.35,9122.93,42166.41,199681.77
Baseline,6118.74,8901.32,9213.86,38901.14,141413.84
Baseline,3238.55,5815.13,5201.67,38853.69,146705.95
Baseline,4211.22,9587.66,6714.95,33282.03,189977.26
Baseline,2433.97,5215.08,7008.27,47902.32,164619.60
Baseline,7026.17,15176.14,10716.13,34159.92,168064.40
Baseline,8893.38,13076.57,15482.20,46208.31,141896.67
Baseline,6268.97,7456.76,7262.20,45845.20,168857.08
Baseline,13431.65,11040.02,5076.73,45338.18,151266.22
Baseline,24068.70,4717.67,10135.58,49092.46,190722.09
Baseline,5569.78,4388.42,5170.15,37983.17,159527.40
Baseline,3346.40,10632.00,13390.99,40401.47,161135.35
Baseline,2429.99,9714.17,5422.23,37793.59,185409.13
Baseline,3067.40,7490.49,12413.76,40717.02,181221.12
Baseline,14224.51,6106.82,5734.04,38454.58,181495.44
Baseline,3317.63,7247.36,4225.88,28725.00,171039.92
Baseline,5174.64,2872.66,6076.81,45629.01,153249.54
Baseline,2130.33,5909.32,9761.70,35078.60,154585.99
Baseline,2850.49,3842.74,9034.78,37450.02,155943.97
Baseline,12760.22,20877.77,17073.39,68126.56,204623.41
Baseline,5718.79,5672.42,3043.06,31439.95,144463.45
Baseline,2849.11,6649.25,4671.91,30116.88,99804.74
Baseline,23340.19,13635.05,11971.99,38043.15,181651.07
Baseline,5910.50,13628.60,5924.51,27138.30,173938.29
Baseline,6938.00,6148.00,7217.60,24654.14,150840.88
Baseline,14446.06,6414.40,8151.38,24844.54,128226.04
Baseline,7917.06,7714.64,8598.00,22835.45,101303.82
Baseline,6534.99,9157.42,6387.12,36651.00,166120.15
Baseline,9461.52,9021.07,8929.94,50315.39,163045.42
Baseline,3529.04,14088.65,13206.70,37089.02,126293.47
Baseline,9180.18,5573.30,12710.13,40910.83,126931.73
Baseline,4721.62,5349.07,8416.96,44235.86,188132.97
Baseline,2579.33,10272.38,5549.70,38530.42,186233.30
Baseline,2505.88,5037.46,7220.85,35933.93,151180.26
Baseline,3294.72,6298.05,8401.29,35840.51,150906.72
Baseline,2735.96,5332.63,6237.15,34153.25,155083.56
Baseline,3448.84,4110.66,6398.26,38082.53,149133.34
Baseline,6162.63,7348.55,6511.64,37270.20,159446.61
Baseline,6178.95,14670.94,15465.98,42478.63,166359.86
Baseline,9490.12,8287.73,7158.74,39582.13,158613.04
Baseline,7462.79,4724.94,10912.58,41060.99,158107.10
Baseline,6172.23,9524.06,9913.95,34926.08,134160.60
Baseline,6140.88,7175.44,6761.00,28393.21,118685.10
Baseline,7189.57,7154.04,8000.97,39583.54,153491.38
Baseline,11372.41,15969.16,10067.79,41508.09,165666.16
Baseline,8446.85,10877.76,6849.06,34245.36,143374.04
Baseline,8160.41,6985.26,9418.99,35487.81,126527.93
Baseline,1887.11,4898.59,7759.64,35800.84,174417.58
Baseline,10293.11,13279.38,11775.67,54527.65,124259.65
Baseline,4106.00,11910.09,6178.99,53034.30,147826.73
Baseline,14310.43,22190.44,7818.50,46948.59,187604.63
Baseline,6367.19,3510.64,9372.99,40798.14,113287.47
Baseline,7224.43,9649.11,5133.98,35851.21,150904.96
Baseline,4928.30,9934.43,8430.22,35572.26,179291.97
Baseline,5398.35,3864.78,8596.57,36087.98,139522.85
Baseline,3171.18,4434.52,7767.24,37533.52,152477.38
Baseline,4060.44,6235.52,8389.68,56021.18,159050.03
Baseline,2598.69,4529.84,8679.16,33376.47,129357.70
Baseline,9183.73,9728.26,5298.83,41206.69,155721.52
Baseline,12841.14,15261.46,12906.83,54098.59,164734.81
Baseline,5995.90,10927.94,14055.44,51064.25,156696.58
Baseline,4855.25,6185.92,10101.46,51594.85,141824.61
Baseline,4325.38,3579.83,6300.73,33821.94,134397.43
Baseline,12857.99,11254.20,6410.21,42557.28,133620.33
Baseline,9104.48,14319.58,4401.20,34363.57,155644.94
Baseline,2394.97,6913.81,5264.72,53193.94,167507.28
Baseline,4101.46,11762.45,7428.42,38332.50,119519.34
Baseline,7127.18,8276.17,6586.93,41199.64,164979.86
Baseline,3074.86,8242.78,5186.32,29051.04,102907.94
Baseline,5263.62,6039.79,9129.82,29487.78,126953.14
Baseline,16500.98,10718.95,11462.19,31718.81,172474.73
Baseline,5555.74,5839.27,11583.77,25165.57,83864.32
Baseline,5254.51,9595.42,7729.47,16214.54,69216.39
Baseline,1454.95,1651.46,3512.40,15169.56,64108.47
Baseline,28355.82,12113.46,17534.86,61230.41,179407.98
Baseline,3002.90,7675.22,8078.98,27389.58,111617.42
Baseline,4507.74,9997.89,4462.69,11617.76,66390.06
Baseline,3261.62,7689.97,8550.04,17038.09,72862.91
Baseline,34370.35,16170.11,19341.25,57229.66,196101.95
Baseline,4191.23,5168.12,6639.12,34784.73,136072.23
Baseline,3992.60,5022.30,6256.15,35082.96,144427.80
Baseline,31463.78,24971.37,7615.95,23037.57,155614.07
Baseline,7915.07,10902.67,8062.48,23559.66,111443.34
Baseline,5385.33,8095.41,8075.26,14479.60,74834.20
Baseline,6577.15,11935.44,9329.73,18754.58,86710.16
Baseline,4710.00,7908.61,3487.75,26735.57,89909.61
Baseline,3151.67,7922.12,7090.80,16426.09,92026.50
Baseline,116136.81,69054.99,41699.21,84243.74,429160.86
Baseline,18373.85,22695.27,14799.32,49353.50,147673.54
Baseline,27006.88,13039.79,6394.20,32279.31,117102.70
Baseline,12817.20,11037.57,7440.09,30225.21,163258.00
Baseline,11607.51,12777.61,9418.84,26019.69,141133.59
Baseline,13637.28,11024.85,6393.95,30305.47,116910.58
Baseline,5755.14,6447.79,8078.43,24554.09,123704.88
Baseline,7048.28,8175.11,3774.92,25639.92,118673.63
Baseline,4882.97,4399.70,7258.32,28165.36,139745.21
Baseline,6170.53,6406.39,7034.15,22852.32,113752.02
Baseline,5996.24,9118.22,9219.73,45294.75,161528.44
Baseline,8875.59,10796.67,7462.00,42431.84,143108.94
Baseline,3090.26,7292.24,12665.59,41150.49,132307.24
Baseline,122994.90,49923.80,20213.81,75441.28,191831.48
Baseline,14206.32,7886.64,4961.56,33844.01,129916.12
Baseline,6002.91,17059.02,9024.12,33371.14,146800.93
Baseline,9850.73,8541.69,9544.54,43582.95,136001.70
Baseline,2094.49,6478.17,5577.74,32635.79,141083.93
Baseline,14261.68,17062.58,8898.48,36604.65,158478.65
Baseline,4514.05,7501.59,6983.14,38047.73,143138.10
Baseline,6610.44,5992.00,10949.49,39750.90,126280.19
Baseline,8871.76,9866.90,13074.13,29263.40,130391.43
Baseline,2973.98,7352.99,11665.35,25855.58,109034.26
Baseline,3544.60,7191.13,3363.58,43961.78,128283.08
Baseline,1322.12,6617.59,8264.78,40684.35,124424.66
Baseline,8798.79,15579.09,9703.60,38788.94,133182.15
Baseline,5668.62,6990.43,8021.81,36508.40,154513.14
Baseline,4358.92,7968.67,8405.63,27501.00,116772.68
Baseline,5037.67,19568.69,15259.53,42943.48,140050.56
Baseline,6191.16,10089.68,4520.15,40453.04,144942.67
Baseline,22172.92,6486.37,6546.53,29119.36,154168.06
Baseline,6846.51,12089.27,12333.40,46185.36,153380.80
Baseline,7896.08,16588.73,19454.44,42977.74,155066.84
Baseline,28976.34,37500.12,17057.77,47815.14,151389.44
Baseline,22366.12,27442.91,9627.23,32118.49,126885.64
Baseline,5067.18,7042.32,15252.13,43362.76,129269.03
Baseline,7065.27,5942.62,8265.29,31047.01,127046.24
Baseline,6556.07,12216.09,8076.36,31306.81,111561.45
Baseline,1932.49,11268.60,12474.67,38961.09,130918.14
Baseline,5638.57,10402.01,5034.15,32718.14,131974.12
Baseline,11284.64,16970.69,12058.38,43693.85,156755.08
Baseline,9500.72,13878.01,7377.83,46095.61,170459.52
Baseline,3339.18,6831.95,10284.11,43243.11,167792.09
Baseline,52563.20,22688.14,12341.72,41793.40,146949.67
Baseline,15312.98,18012.09,19399.62,48135.74,143108.16
Baseline,7951.02,6869.72,10834.78,41404.61,122031.65
Baseline,8367.10,13779.71,10326.07,28460.60,112592.75
Baseline,5729.90,18280.94,11840.16,30663.56,110897.00
Baseline,44450.62,65229.76,26381.21,99337.63,582823.77
Baseline,30533.13,46859.01,16376.87,75270.32,407573.56
Baseline,10441.57,5900.12,6888.52,36326.59,106776.47
Baseline,2893.59,4762.92,5250.53,34767.25,110922.40
Baseline,7348.75,5140.08,5513.48,40148.77,139670.99
Baseline,6149.34,11836.55,11935.24,37598.01,110002.68
Baseline,11781.76,17400.92,13309.52,35934.48,120496.61
Baseline,3862.05,5398.94,8475.92,30279.57,116759.42
Baseline,8972.11,7560.80,5434.59,34112.25,145491.69
Baseline,8002.89,10670.75,21943.24,52299.22,167414.26
Baseline,5613.93,8160.15,11762.67,35087.36,145846.87
Baseline,10075.77,14658.31,9063.29,33196.58,127194.98
Baseline,3284.79,6009.38,8448.25,32806.40,135792.16
Baseline,4918.03,7898.88,9612.16,32381.70,137921.11
Baseline,7411.04,7875.14,7842.79,31824.22,107867.90
Baseline,2891.23,5841.13,9063.59,30928.73,98059.08
Baseline,4620.28,6742.13,12144.11,33556.36,108037.38
Baseline,4641.51,6182.80,7178.77,31543.77,111289.11
Baseline,41776.35,35242.31,16930.47,70895.27,288251.59
Baseline,8070.76,13256.79,14647.67,57731.27,232911.68
Baseline,18928.50,17269.85,16987.45,51478.33,153373.09
Baseline,12517.95,15215.08,19830.86,28938.10,134707.96
Baseline,3016.74,5854.25,6749.79,39939.72,113076.60
Baseline,25076.69,38345.98,25372.25,36746.90,91178.22
Baseline,7598.76,17538.99,10661.82,44804.05,202041.15
Baseline,7995.69,13769.85,19063.69,77994.51,235062.53
Baseline,5310.21,12133.29,18972.17,38762.19,161734.31
Baseline,7519.18,9327.87,13252.64,45382.43,138288.61
Baseline,25560.22,17283.00,8149.37,24534.49,122144.92
Baseline,25486.00,12528.63,10277.51,52011.10,187796.76
Baseline,3176.13,6444.37,1638.61,5981.19,36031.64
Baseline,19279.71,11706.93,9250.50,35501.52,119058.59
Baseline,48496.39,13922.85,11224.70,31074.26,131754.70
Baseline,30370.80,21856.21,11688.23,26360.00,126243.79
Baseline,6308.89,16926.57,13034.08,20799.59,92514.86
Baseline,4793.61,5734.59,10376.06,19321.27,81422.01
Baseline,7179.46,6843.47,9063.35,18742.92,89543.01
Baseline,11199.74,6421.63,5189.59,18612.15,72779.52
Baseline,22319.08,19837.52,11184.34,23497.31,99275.59
Baseline,3823.20,4123.97,4170.52,26740.55,109146.80
Baseline,11210.10,6299.67,5242.67,18196.88,89049.08
Baseline,6383.33,7340.20,8379.30,14189.24,59670.39
Baseline,5594.68,13975.81,6932.57,18739.76,94184.72
Baseline,5610.01,6710.57,11592.04,16550.00,85804.25
Baseline,8989.61,7759.76,6120.27,15672.36,68300.13
Baseline,6008.77,8276.92,9291.74,13130.37,62601.16
Baseline,4043.18,3233.33,4243.18,15196.04,60440.48
Baseline,4660.71,3226.40,7768.07,34776.35,103415.19
Baseline,7086.34,9504.21,8182.35,22210.75,126398.31
Baseline,20702.21,17175.66,10864.17,73000.93,182050.28
Baseline,9296.89,7379.21,10649.35,30183.04,108811.13
Baseline,5529.81,5363.14,5332.24,24229.84,99165.44
Baseline,24671.64,13647.11,8119.95,17720.53,62003.87
Baseline,8682.33,8682.29,6627.96,22033.96,72087.43
Baseline,6524.22,20337.01,8537.56,21934.85,56424.52
Baseline,6133.19,5734.17,4917.01,14894.10,62378.36
Baseline,4206.12,8221.55,6504.34,14548.58,60504.36
Baseline,6744.60,5310.53,4855.59,13785.32,51644.92
Baseline,7857.28,9891.12,4672.82,16038.41,61700.35
Baseline,3802.02,9351.58,3803.66,13034.13,54166.65
Baseline,6450.77,5983.30,7293.92,13565.42,61604.00
Baseline,1989.01,7679.70,6306.63,14862.85,51973.36
Baseline,6782.10,7025.55,7183.13,10591.86,54313.37
Baseline,4803.50,5878.23,4992.35,11032.19,53109.19
Baseline,4783.01,2254.67,6166.55,13598.71,56919.73
Baseline,8457.38,5566.28,6509.20,14337.34,58099.41
Baseline,7394.36,12298.46,4140.62,11548.82,48751.57
Baseline,3350.06,5775.01,4037.43,18509.31,56315.35
Baseline,6789.36,9536.86,8803.35,11189.49,54629.05
Baseline,8601.78,11867.42,2760.56,14030.66,61119.90
Baseline,3048.85,5928.33,6181.30,11794.83,56555.67
Baseline,3429.18,4984.74,7277.30,18083.29,56493.56
Baseline,9799.65,6087.06,6163.50,21337.10,81063.16
Baseline,47767.08,26821.19,7132.83,78437.39,478705.37
Baseline,23502.83,33106.55,21065.53,73232.35,374304.68
Baseline,10841.36,12441.54,9713.37,46616.66,155791.99
Baseline,5570.87,5910.11,7508.65,40721.66,120036.66
Baseline,12183.39,7329.81,6094.17,26346.03,111239.24
Baseline,7086.70,10052.42,9114.81,22544.70,108191.32
Baseline,5486.21,7854.42,4352.69,21046.16,73301.69
Baseline,5377.08,9482.52,13744.73,18359.00,78656.69
Baseline,45537.09,122828.60,39185.07,79873.91,115462.81
Baseline,15321.34,14737.83,11847.28,22089.94,133664.34
Baseline,11116.93,12506.67,11365.96,27100.94,82905.71
Baseline,10999.86,9377.83,11217.84,26624.49,97616.56
Baseline,9838.64,7797.49,4945.20,13913.68,67737.30
Baseline,7637.28,5616.17,8797.61,23178.09,66329.86
Baseline,4757.03,4710.60,7921.02,18058.85,86127.93
Baseline,2588.82,8405.27,7170.72,20047.56,78375.12
Baseline,3409.25,6573.90,4195.07,23360.01,75403.11
Baseline,58161.17,22270.40,10906.50,17979.18,82917.62
Baseline,32964.23,19391.89,16817.50,28254.89,79565.05
Baseline,29618.16,26858.09,18698.43,39827.53,103392.08
Baseline,30729.65,25740.70,6268.04,27208.32,102643.99
Baseline,11125.78,9935.01,8059.18,45101.16,107562.59
Baseline,6616.64,9427.65,6839.38,47754.00,130189.03
Baseline,11352.77,13841.81,11381.42,42015.08,110886.39
Baseline,5046.85,6917.02,6089.35,25235.81,96279.85
Baseline,11646.05,22833.06,11639.44,53789.17,240959.22
Baseline,25292.12,32703.46,8296.91,33331.40,126547.72
Baseline,34382.17,25112.23,17933.61,15310.50,76587.73
Baseline,33073.69,27330.88,16921.19,36175.77,106237.54
Baseline,64105.50,37347.14,8091.97,29258.03,90905.61
Baseline,37936.35,27022.61,13053.20,40693.92,103565.20
Baseline,24458.21,18522.31,14867.11,37684.69,215340.94
Baseline,29382.86,16758.81,6647.82,41705.04,134453.35
Baseline,7904.44,5969.06,12320.17,31313.92,95152.56
Baseline,4308.08,7752.45,14579.23,39994.73,101490.64
Baseline,11073.32,12135.78,11480.76,60852.90,193606.37
Baseline,9482.39,9471.20,11064.85,45363.94,136462.98
Baseline,10899.06,6778.92,7309.31,43486.16,147069.89
Baseline,6426.60,5134.97,5284.27,34300.78,136104.10
Baseline,13781.72,19903.60,12155.95,50749.87,140294.59
Baseline,20873.90,31570.92,16749.32,46451.71,146811.87
Baseline,6019.70,5855.07,5712.04,38207.63,173957.44
Baseline,14191.59,10535.13,11337.03,30299.77,142702.48
Baseline,3773.15,10589.85,6516.68,25902.33,167061.86
Baseline,11273.94,10482.65,13513.88,34524.26,146938.23
Baseline,11092.82,16342.33,14370.69,48126.32,152357.53
Baseline,5187.58,6516.36,11139.49,44818.37,176444.07
Baseline,6250.13,8950.59,9222.19,33857.78,125062.09
Baseline,8651.13,14721.55,17233.90,48252.82,159266.31
Baseline,66113.54,37612.49,34732.09,125228.03,242003.64
Baseline,13278.00,10977.91,11850.16,60943.62,184333.25
Baseline,5368.52,4722.07,11215.31,32999.34,123665.54
